  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4197    0.037    0.000    1.714    0.000 redis_wrapper.py:31(set_value)
     8161    0.038    0.000    1.714    0.000 __init__.py:1453(publish_realtime)
     8161    0.177    0.000    1.675    0.000 realtime.py:54(publish_realtime)
4980/1960    0.004    0.000    1.673    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  5757444    1.657    0.000    1.658    0.000 {method 'decode' of 'bytes' objects}
3454/1990    0.019    0.000    1.635    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
    62065    0.129    0.000    1.626    0.000 data.py:52(get_datetime)
     4197    0.018    0.000    1.562    0.000 client.py:1140(set)
  9528855    1.547    0.000    1.547    0.000 {method 'get' of 'dict' objects}
3385/1989    0.011    0.000    1.541    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
15553473/15552294    1.442    0.000    1.442    0.000 {built-in method builtins.len}
    16597    0.016    0.000    1.427    0.000 naming.py:89(make_autoname)
     2806    0.006    0.000    1.416    0.001 __init__.py:834(get_module)
     2806    0.007    0.000    1.410    0.001 __init__.py:109(import_module)
    62062    0.052    0.000    1.407    0.000 {built-in method strptime}
3779/2806    0.007    0.000    1.403    0.000 <frozen importlib._bootstrap>:994(_gcd_import)
     2269    0.012    0.000    1.393    0.001 utils.py:191(load_doctype_module)
     1182    0.002    0.000    1.381    0.001 __init__.py:1(<module>)
      198    0.005    0.000    1.354    0.007 render.py:308(clear_cache)
    62062    0.107    0.000    1.354    0.000 _strptime.py:574(_strptime_datetime)
     11579715    1.309    0.000    1.309    0.000 {method 'append' of 'list' objects}
    57815    0.643    0.000    1.297    0.000 connection.py:632(pack_command)
  6575659    1.209    0.000    1.266    0.000 {built-in method builtins.hasattr}
    62062    0.717    0.000    1.247    0.000 _strptime.py:318(_strptime)
1261/1260    0.027    0.000    1.240    0.001 db_query.py:132(prepare_args)
      974    0.008    0.000    1.225    0.001 schema.py:13(__init__)
  2456803    0.839    0.000    1.220    0.000 meta.py:179(get_field)
        1    0.000    0.000    1.217    1.217 system_settings.py:43(on_update)
  3986434    1.192    0.000    1.192    0.000 protocol.py:211(is_error_packet)
       45    0.000    0.000    1.182    0.026 module_def.py:10(on_update)
     3067    0.040    0.000    1.126    0.000 document.py:434(set_user_and_timestamp)
  1379712    0.879    0.000    1.098    0.000 local.py:70(__getattr__)
        6    0.000    0.000    1.077    0.179 installer.py:313(add_module_defs)
     2424    0.021    0.000    1.061    0.000 link_count.py:20(flush_local_link_count)
  3986579    1.047    0.000    1.047    0.000 {built-in method _struct.unpack}
  3986434    1.046    0.000    1.046    0.000 protocol.py:56(__init__)
    12014    0.028    0.000    1.020    0.000 doctype.py:723(check_link_table_options)
  3757949    1.006    0.000    1.014    0.000 protocol.py:190(is_eof_packet)
    56388    0.092    0.000    0.977    0.000 re.py:182(search)
        9    0.000    0.000    0.969    0.108 custom_field.py:34(validate)
    57810    0.113    0.000    0.964    0.000 connection.py:582(send_packed_command)
  1140230    0.958    0.000    0.958    0.000 data.py:343(cint)
       95    0.001    0.000    0.946    0.010 property_setter.py:18(validate)
      390    0.005    0.000    0.915    0.002 __init__.py:934(get_hooks)
  2357222    0.673    0.000    0.909    0.000 data.py:868(<lambda>)
        1    0.000    0.000    0.892    0.892 hr_settings.py:14(validate)
        1    0.000    0.000    0.888    0.888 hr_settings.py:18(set_naming_series)
    17043    0.026    0.000    0.857    0.000 naming.py:61(set_name_from_naming_options)
      972    0.007    0.000    0.808    0.001 naming.py:120(parse_naming_series)
1255/1254    0.006    0.000    0.797    0.001 db_query.py:330(build_conditions)
     2510    0.008    0.000    0.786    0.000 db_query.py:342(build_filter_conditions)
     2486    0.063    0.000    0.776    0.000 db_query.py:356(prepare_filter_condition)
      179    0.010    0.000    0.766    0.004 __init__.py:940(load_app_hooks)
       24    0.000    0.000    0.765    0.032 __init__.py:4(<module>)
  2988719    0.755    0.000    0.755    0.000 {built-in method builtins.iter}
      972    0.011    0.000    0.748    0.001 naming.py:157(getseries)
220269/218863    0.124    0.000    0.743    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  810/194    0.002    0.000    0.737    0.004 {built-in method builtins.__import__}
    16995    0.136    0.000    0.729    0.000 __init__.py:674(generate_hash)
     3645    0.013    0.000    0.692    0.000 data.py:161(now)
      529    0.005    0.000    0.690    0.001 defaults.py:76(get_defaults)
           8158    0.052    0.000    0.683    0.000 __init__.py:1343(as_json)
     1058    0.022    0.000    0.681    0.001 defaults.py:197(get_defaults_for)
        1    0.002    0.002    0.680    0.680 install.py:127(import_country_and_currency)
      180    0.003    0.000    0.679    0.004 __init__.py:898(get_installed_apps)
       32    0.002    0.000    0.678    0.021 schema.py:39(alter)
        1    0.000    0.000    0.657    0.657 fixtures.py:4(<module>)
        1    0.000    0.000    0.656    0.656 data_import.py:5(<module>)
        2    0.000    0.000    0.655    0.328 importer.py:4(<module>)
